Breed,Weight_kg,Age_years,RBC,Hb,WBC,Platelets,Glucose,Creatinine,ALT,MCV,MCH,MCHC,MedicalHistory,Vd,ke,CL,fi,D_eff,Xylazine_Dose_mg_per_kg,Safe_Unsafe
Golden Retriever,38.7,6.2,5.213,12.011,6.706,349.2,87.4,1.136,35.6,83.35,21.19,32.37,Parasite history,2.021,0.0206,0.0416,0.531,0.2145,0.618,1
Golden Retriever,41.0,8.2,7.542,20.934,15.026,301.1,99.7,1.193,58.6,86.27,25.44,32.79,Dental issues,2.088,0.023,0.048,0.521,0.1946,0.549,1
Bulldog,22.5413,3.2351,5.982,10.97,7.292,334.1,97.7,0.784,130.0,72.412,22.7005,27.5821,Dental issues,2.095,0.0187,0.0392,0.5375,0.1648,0.528,0
German Shepherd,31.9609,6.643,6.414,14.789,6.901,237.1,77.8,1.976,34.2,77.4698,26.0899,31.2731,Previous kidney disease,2.105,0.0211,0.0444,0.5408,0.1999,0.571,0
Beagle,15.9002,5.1178,6.533,11.095,3.706,405.4,78.5,1.138,62.5,66.053,26.8882,28.0252,Skin conditions history,1.96,0.0235,0.0461,0.5205,0.2356,0.672,1
Bulldog,23.0,9.3,4.979,12.364,9.445,229.2,87.5,1.406,64.5,91.76,25.65,31.83,Recent surgery,2.175,0.0191,0.0415,0.5306,0.1909,0.598,0
Rottweiler,28.1017,1.4684,6.514,11.74,4.716,277.9,70.3,1.275,33.3,68.1259,19.6704,29.3613,Previous heart condition,1.976,0.0228,0.0451,0.5372,0.2006,0.581,0
Poodle,5.5,5.2,5.146,14.153,5.149,235.9,79.7,0.91,40.3,81.71,26.0,31.38,Allergies,1.964,0.0199,0.0391,0.5284,0.1664,0.49,0
Mixed Breed,22.7,2.9,6.719,19.727,9.007,297.7,91.0,1.138,73.0,88.28,24.3,32.67,Vaccinated,2.095,0.0208,0.0436,0.5222,0.1493,0.44,1
Bulldog,15.1877,5.6509,5.856,17.273,7.23,298.0,100.4,1.212,32.8,88.5896,22.2622,30.7823,Allergies,2.174,0.0202,0.0439,0.5422,0.1713,0.51,1
Rottweiler,35.1128,14.0067,6.478,12.877,8.13,302.7,70.5,1.099,37.2,70.8062,28.5424,28.7669,Skin conditions history,1.954,0.0211,0.0412,0.5354,0.2058,0.584,1
Golden Retriever,29.5607,9.2359,7.326,16.212,4.752,304.8,94.9,0.927,51.8,81.0663,24.4015,32.857,Not vaccinated,2.034,0.0229,0.0466,0.5359,0.2348,0.637,0
Bulldog,23.6721,8.8037,6.156,13.975,9.265,232.0,90.1,1.3,35.3,78.5457,20.2497,31.0793,Previous heart condition,2.228,0.02,0.0446,0.5323,0.1794,0.553,0
German Shepherd,40.0659,9.2517,6.421,15.908,7.044,191.3,65.2,2.005,42.5,77.9641,23.3695,33.2795,Previous kidney disease,2.033,0.019,0.0386,0.5258,0.2242,0.644,0
German Shepherd,40.5495,7.6904,6.158,15.326,3.0,174.2,92.0,1.15,33.9,91.7114,25.6629,31.1224,Parasite history,2.05,0.0217,0.0445,0.516,0.1768,0.504,1
Yorkshire Terrier,9.2802,7.046,5.483,15.845,9.164,265.0,86.2,1.496,125.8,80.7249,20.9407,33.0496,Previous kidney disease,1.819,0.0186,0.0338,0.5365,0.1712,0.514,1
German Shepherd,41.8,3.9,5.197,13.285,6.345,320.1,90.7,1.422,64.9,88.66,25.84,31.89,Skin conditions history,2.023,0.0229,0.0463,0.5296,0.1953,0.561,0
Golden Retriever,30.0,7.8,6.561,17.34,11.155,295.2,110.6,1.477,40.8,85.35,25.31,32.47,Parasite history,2.092,0.0227,0.0475,0.5253,0.183,0.521,1
German Shepherd,38.0,7.9,5.344,13.321,7.879,351.5,101.7,1.377,114.3,81.53,19.07,29.5,Previous heart condition,2.112,0.0206,0.0435,0.5298,0.2258,0.649,0
Golden Retriever,36.152,9.5177,5.324,10.253,4.582,343.8,105.1,1.68,83.7,77.9319,27.7365,30.452,Chronic illness,2.021,0.022,0.0445,0.5255,0.2239,0.696,0
Mixed Breed,18.8,7.7,6.655,19.19,11.275,331.8,86.9,1.204,55.7,82.69,27.51,33.83,Not vaccinated,2.034,0.0201,0.0409,0.5227,0.1833,0.541,1
Rottweiler,29.5878,11.3579,4.377,12.094,7.657,218.5,92.3,1.296,56.6,88.856,18.5042,28.3181,Skin conditions history,2.041,0.0221,0.0451,0.5452,0.2093,0.613,0
Yorkshire Terrier,4.7,7.0,6.083,10.104,3.0,180.6,83.4,0.685,42.5,64.39,26.28,28.0,Not vaccinated,1.862,0.021,0.0391,0.5331,0.132,0.404,0
German Shepherd,41.1,13.2,5.338,12.836,3.381,242.7,108.1,1.456,41.2,75.73,24.76,29.93,Recent surgery,2.021,0.022,0.0445,0.5304,0.1883,0.542,0
Boxer,22.4,3.4,4.776,12.734,7.744,217.7,75.8,1.18,41.4,90.81,26.26,29.23,Previous heart condition,1.974,0.0205,0.0405,0.5299,0.1728,0.525,0
Bulldog,25.6686,0.7968,5.203,8.97,8.492,452.9,102.9,1.171,36.2,67.8795,27.005,28.369,Vaccinated,2.274,0.0181,0.0412,0.5475,0.1517,0.499,0
Yorkshire Terrier,4.8417,11.7703,5.177,9.843,10.902,259.5,104.1,0.988,49.9,70.3619,20.0435,29.7323,Previous heart condition,1.972,0.0209,0.0412,0.53,0.179,0.526,1
Rottweiler,32.9355,1.479,5.204,15.084,10.382,296.4,110.5,1.499,122.9,85.3942,27.4209,30.675,Previous heart condition,1.963,0.0212,0.0416,0.521,0.1849,0.514,0
Golden Retriever,44.5,3.0,5.27,14.274,8.256,267.4,81.0,1.002,48.6,82.7,26.96,29.52,Recent surgery,2.046,0.0195,0.0399,0.5283,0.2168,0.621,0
Rottweiler,40.4231,4.9183,5.568,12.417,6.105,330.1,82.8,1.193,38.0,77.3296,25.679,28.7278,Allergies,1.971,0.0192,0.0378,0.5419,0.2008,0.581,0
Rottweiler,45.6387,2.0128,6.538,12.082,5.241,318.7,128.0,1.778,62.9,71.5571,25.8626,30.9146,No previous conditions,2.052,0.0213,0.0437,0.5367,0.1774,0.52,1
Yorkshire Terrier,6.6,9.6,5.36,14.107,8.2,221.6,83.9,1.144,49.4,83.2,23.54,30.3,Not vaccinated,1.877,0.0188,0.0353,0.5285,0.1673,0.507,1
Poodle,7.9522,5.0335,5.86,9.448,11.648,474.4,65.9,0.986,46.0,65.1023,21.6558,26.8031,Recent surgery,1.885,0.0217,0.0409,0.532,0.1794,0.535,1
Bulldog,26.6,8.9,6.022,11.3,16.518,215.5,57.3,1.142,43.7,72.2,22.58,28.32,Skin conditions history,2.232,0.0195,0.0435,0.5312,0.1307,0.41,0
Beagle,22.1048,5.2536,6.108,18.549,9.292,229.0,90.9,1.103,32.0,97.276,24.6463,35.0176,Not vaccinated,1.968,0.0212,0.0417,0.5195,0.2377,0.678,0
Yorkshire Terrier,4.1,15.0,5.966,12.703,9.891,477.2,108.6,0.844,78.6,74.41,19.71,28.25,Previous heart condition,1.804,0.0201,0.0363,0.5306,0.1653,0.503,0
Bulldog,20.4523,8.5612,5.363,14.189,10.195,314.7,93.3,0.752,51.6,85.5189,25.8054,30.1983,Dental issues,2.169,0.0192,0.0416,0.527,0.1646,0.551,1
Rottweiler,42.0361,9.732,7.111,18.198,8.241,237.0,94.8,1.491,33.2,87.1264,21.5512,34.7071,Dental issues,1.945,0.0232,0.0451,0.5112,0.2052,0.564,1
Yorkshire Terrier,5.7853,11.7511,5.355,9.124,9.882,440.4,109.0,0.902,41.0,73.3036,22.3861,29.1599,No previous conditions,2.022,0.0212,0.0429,0.5268,0.1774,0.56,1
German Shepherd,36.1,13.5,4.332,12.863,7.475,291.9,89.6,1.032,56.5,95.16,26.06,34.37,Skin conditions history,1.997,0.0203,0.0405,0.53,0.1791,0.515,1
Bulldog,27.9178,11.5262,6.176,15.968,5.189,282.4,77.9,1.146,60.5,82.5542,25.772,28.6643,Recent surgery,2.12,0.0171,0.0363,0.5286,0.1812,0.563,0
Labrador Retriever,36.596,5.938,7.823,17.853,4.37,102.3,106.4,1.533,37.7,78.1191,23.0192,31.8826,Previous heart condition,1.808,0.0222,0.0401,0.5206,0.1871,0.542,0
Bulldog,25.0,13.0,5.657,10.153,8.841,531.1,96.4,0.941,72.7,67.13,25.01,28.0,Allergies,2.116,0.0197,0.0417,0.5333,0.1279,0.403,1
Beagle,26.2,5.0,6.121,15.575,6.05,251.6,68.6,1.355,33.2,76.97,20.83,31.64,Previous heart condition,1.971,0.0234,0.0461,0.5265,0.1974,0.571,1
Beagle,24.9,9.1,5.949,11.943,5.297,297.8,109.2,0.908,44.1,78.4,26.68,28.9,Previous heart condition,1.957,0.0212,0.0415,0.5315,0.2001,0.585,0
Yorkshire Terrier,9.0,9.8,3.5,8.0,3.0,146.0,98.3,0.968,51.9,83.6,19.38,29.58,Not vaccinated,1.862,0.0213,0.0397,0.5358,0.1829,0.563,0
Golden Retriever,26.6878,1.067,3.5,10.375,5.895,241.8,83.9,1.343,89.8,90.587,19.2892,32.3189,No previous conditions,1.943,0.0239,0.0464,0.5252,0.2268,0.642,1
Rottweiler,25.9,4.9,5.42,13.724,7.52,210.0,50.0,1.041,30.2,84.24,25.93,29.58,Skin conditions history,2.001,0.0224,0.0448,0.5283,0.1981,0.56,1
Boxer,16.2,8.0,4.724,15.242,7.246,176.1,100.9,0.902,61.8,96.12,24.1,33.45,Parasite history,2.045,0.0198,0.0405,0.5275,0.1905,0.576,1
Boxer,18.4698,9.7137,6.766,15.049,7.617,341.6,106.0,1.002,60.4,81.5618,21.9343,31.5415,No previous conditions,2.035,0.0217,0.0442,0.52,0.203,0.622,1
Poodle,4.4437,10.5856,4.65,12.301,4.448,259.1,85.8,0.695,32.4,84.3343,19.1039,29.0325,Vaccinated,1.898,0.0204,0.0387,0.542,0.188,0.552,1
Poodle,9.1063,3.7912,5.157,9.634,11.799,277.4,97.2,1.159,30.6,70.9314,25.0168,29.5393,Not vaccinated,1.88,0.0199,0.0374,0.538,0.2119,0.669,1
Poodle,7.0,2.8,6.027,17.581,6.736,159.6,101.7,1.072,38.8,89.18,27.5,33.75,Not vaccinated,1.949,0.02,0.039,0.5249,0.2169,0.634,1
Poodle,10.0,12.4,5.573,11.51,7.306,216.5,97.6,1.288,49.8,77.79,27.09,30.42,Chronic illness,1.929,0.0225,0.0434,0.5318,0.2127,0.631,0
Bulldog,14.9771,11.3117,6.683,11.681,6.073,298.6,113.5,1.289,43.1,65.1886,27.9015,29.0954,Previous heart condition,2.118,0.0196,0.0415,0.5561,0.1325,0.424,0
Bulldog,24.0699,0.5006,6.07,13.049,6.134,304.7,96.0,1.193,50.5,78.5917,22.2085,31.0342,Vaccinated,2.05,0.0195,0.04,0.543,0.1803,0.563,1
Bulldog,21.9159,12.1922,5.406,12.087,6.747,346.6,86.9,1.229,34.2,71.2236,19.733,28.253,Vaccinated,2.22,0.0181,0.0402,0.5528,0.1516,0.476,1
Beagle,24.0111,0.771,6.091,14.294,3.0,263.8,97.3,1.437,69.8,89.0813,21.3184,31.8539,Previous heart condition,2.004,0.0228,0.0457,0.5234,0.2286,0.657,0
Beagle,23.0,14.9,4.381,10.259,9.309,213.4,103.4,1.376,56.3,80.17,22.44,30.72,Previous heart condition,2.018,0.023,0.0464,0.5333,0.1782,0.523,1
Rottweiler,25.7143,8.367,6.122,13.165,12.446,274.3,121.4,0.877,130.0,78.7469,26.871,29.4617,Dental issues,2.003,0.0239,0.0479,0.5238,0.2114,0.611,0
Rottweiler,33.2,8.9,3.5,8.0,3.0,119.3,109.7,1.239,44.0,85.79,20.06,29.64,Vaccinated,2.012,0.0216,0.0435,0.536,0.1782,0.512,0
Boxer,21.1973,1.7302,5.275,13.38,12.774,227.8,97.5,1.232,71.3,83.8903,20.2892,31.3574,Skin conditions history,1.878,0.0221,0.0415,0.5388,0.1797,0.552,1
Labrador Retriever,36.2,13.6,5.407,15.741,10.215,297.6,92.7,1.84,35.5,86.48,21.78,31.2,Previous heart condition,2.078,0.0231,0.048,0.5268,0.1963,0.553,0
Poodle,7.5043,8.8907,5.192,11.196,6.942,369.0,68.6,1.114,31.7,75.6753,24.7524,30.3981,No previous conditions,1.9,0.0206,0.0391,0.5197,0.1929,0.587,0
Mixed Breed,10.5,1.2,5.921,14.014,8.206,261.3,91.4,1.081,32.8,86.17,20.83,30.89,Not vaccinated,2.103,0.0204,0.0429,0.5288,0.196,0.586,1
German Shepherd,46.7013,5.452,7.302,17.628,8.017,222.1,103.9,1.305,72.3,86.2699,26.4568,31.9966,Parasite history,1.984,0.0199,0.0395,0.5255,0.2131,0.591,0
Rottweiler,30.7229,5.8214,5.144,12.845,6.889,201.9,87.5,0.799,40.5,90.6155,21.9504,31.2708,No previous conditions,1.92,0.0219,0.042,0.5307,0.1911,0.529,0
Yorkshire Terrier,7.8108,9.1315,6.533,12.85,4.95,313.4,94.6,0.937,102.8,73.6325,19.4603,30.8474,Dental issues,1.971,0.0214,0.0422,0.5346,0.1922,0.605,1
Mixed Breed,8.6,8.3,5.847,14.715,3.0,263.8,90.6,1.084,49.1,85.0,27.39,32.83,No previous conditions,2.119,0.0206,0.0437,0.5279,0.2021,0.603,1
Poodle,7.3256,9.6204,7.227,14.211,3.601,214.2,61.2,1.086,72.5,78.8979,19.8807,31.4162,No previous conditions,2.062,0.0205,0.0423,0.5408,0.1966,0.576,1
Bulldog,15.1,8.4,4.728,11.355,8.769,328.2,92.7,1.333,54.2,82.88,20.8,28.07,Chronic illness,2.147,0.018,0.0386,0.5318,0.1433,0.45,0
Yorkshire Terrier,3.4856,12.9723,5.958,15.16,6.903,217.7,100.0,1.444,55.8,80.6752,21.5585,30.5902,Previous kidney disease,1.833,0.0179,0.0328,0.5296,0.1725,0.514,1
Rottweiler,38.3108,1.7754,5.329,12.428,11.034,207.5,85.9,1.203,52.4,83.583,22.0576,32.463,No previous conditions,2.084,0.0223,0.0465,0.5419,0.2015,0.555,1
Rottweiler,37.3347,2.505,4.718,12.082,8.215,382.7,97.1,1.529,51.1,73.0047,21.5953,29.9592,Chronic illness,2.041,0.0203,0.0414,0.5481,0.2029,0.574,0
German Shepherd,26.4071,6.0469,6.368,14.859,6.562,258.7,101.8,1.185,84.9,74.5651,19.6661,30.1258,Not vaccinated,2.001,0.0211,0.0422,0.5234,0.232,0.665,1
Poodle,6.9,6.5,5.666,12.489,5.641,282.7,68.0,1.022,36.6,87.26,20.16,30.99,Parasite history,1.949,0.0177,0.0345,0.5301,0.1918,0.567,1
Beagle,27.4081,1.9266,4.489,11.298,5.41,214.7,70.6,1.253,58.3,77.5779,25.3488,30.1694,Chronic illness,2.018,0.0213,0.043,0.5241,0.2043,0.615,0
Rottweiler,35.6005,8.47,4.342,14.3,4.844,180.8,94.7,1.305,84.8,101.8357,19.3878,34.0023,Vaccinated,2.027,0.0244,0.0495,0.5495,0.2207,0.614,0
Golden Retriever,38.8985,1.1829,6.504,14.609,13.57,226.9,103.9,1.471,128.6,71.7552,22.1513,30.6693,Recent surgery,2.066,0.0202,0.0417,0.5384,0.2245,0.654,0
Bulldog,19.6235,2.0742,6.644,17.218,12.963,197.9,95.7,1.515,80.1,89.6114,22.0825,31.855,Chronic illness,2.28,0.0177,0.0404,0.5133,0.1473,0.472,1
Beagle,30.6,16.5,6.176,14.398,5.976,242.5,93.3,1.156,31.5,81.94,21.98,28.79,Allergies,2.046,0.0214,0.0438,0.5284,0.2093,0.608,1
German Shepherd,32.4708,10.5609,5.725,10.927,8.02,477.8,66.9,1.572,44.4,67.1935,26.2553,30.7799,Chronic illness,2.034,0.021,0.0427,0.5328,0.2205,0.646,1
Labrador Retriever,45.2283,8.3448,5.892,12.653,5.763,289.7,81.1,1.355,91.0,87.2642,26.7107,29.0663,Recent surgery,2.099,0.0229,0.0481,0.5478,0.2388,0.661,1
Mixed Breed,7.1,8.8,6.107,13.634,14.39,222.8,81.6,0.991,62.1,76.65,22.91,30.95,No previous conditions,1.971,0.0209,0.0412,0.529,0.1833,0.548,1
Beagle,25.3401,2.0854,7.342,16.058,5.426,165.9,60.3,1.032,49.1,79.8833,25.4296,32.9097,Parasite history,1.862,0.0226,0.0421,0.5268,0.2193,0.636,1
Mixed Breed,19.3899,7.6049,6.307,17.665,6.744,297.7,100.2,1.1,43.1,89.4663,22.2553,32.9311,Parasite history,2.072,0.0197,0.0408,0.5111,0.155,0.453,1
Poodle,8.9,7.7,5.648,14.888,7.229,306.7,82.9,1.454,46.2,87.84,22.69,31.78,Chronic illness,1.926,0.0209,0.0403,0.5276,0.1721,0.506,0
Poodle,10.0018,11.6369,6.804,17.878,4.755,222.7,82.7,0.892,37.9,93.0377,19.2949,33.1752,Previous heart condition,1.965,0.0197,0.0387,0.5287,0.1907,0.542,0
Rottweiler,40.8204,5.828,5.553,12.489,4.564,378.0,87.3,1.97,67.3,78.8778,21.1645,28.8013,Chronic illness,1.952,0.0223,0.0435,0.5192,0.2115,0.616,0
Labrador Retriever,41.5,9.1,5.827,13.023,3.124,167.7,90.9,1.351,37.2,65.56,25.3,28.0,Recent surgery,2.058,0.023,0.0473,0.5299,0.1795,0.509,1
Rottweiler,34.862,6.116,6.421,17.14,9.393,274.8,90.6,1.295,34.9,84.5519,27.4487,34.0938,Allergies,2.014,0.0223,0.0449,0.5237,0.2014,0.542,1
Rottweiler,36.3059,1.3709,4.985,15.474,9.168,267.3,111.1,1.415,48.9,82.3964,19.9477,33.031,Chronic illness,2.055,0.0198,0.0407,0.5346,0.2183,0.636,0
German Shepherd,36.7,10.2,5.805,11.865,6.259,181.0,94.2,1.143,60.5,88.98,25.51,31.09,No previous conditions,2.076,0.0228,0.0473,0.5313,0.1915,0.552,1
Mixed Breed,32.1,14.4,5.384,14.004,5.423,220.9,81.5,1.348,40.5,86.77,24.49,31.23,Previous heart condition,2.058,0.0208,0.0428,0.5286,0.1888,0.564,0
Yorkshire Terrier,5.3,7.5,6.709,14.949,7.169,352.7,90.9,0.858,49.2,83.74,23.15,31.79,Skin conditions history,1.879,0.0222,0.0417,0.5277,0.1676,0.507,1
Labrador Retriever,29.7591,10.2361,6.362,16.942,5.732,246.5,108.4,1.332,34.1,90.9151,23.0482,32.4237,No previous conditions,2.101,0.0232,0.0488,0.5269,0.1872,0.51,1
German Shepherd,44.8957,10.2535,4.759,14.393,8.218,355.6,100.0,1.333,43.0,90.5805,24.384,34.2595,No previous conditions,1.876,0.0225,0.0422,0.5199,0.2033,0.571,1
Bulldog,21.6,11.7,6.892,17.73,7.287,168.2,100.1,0.845,38.5,75.54,23.67,34.55,Parasite history,2.088,0.0199,0.0416,0.5247,0.1568,0.485,1
Mixed Breed,20.4401,6.5501,6.36,14.382,12.392,254.3,70.5,1.22,38.9,78.4451,22.4396,30.6885,Skin conditions history,2.031,0.0195,0.0396,0.5254,0.1473,0.44,0
Boxer,23.5,9.3,5.084,14.118,6.941,263.0,100.5,1.523,63.2,84.36,24.88,30.15,Chronic illness,2.03,0.0206,0.0418,0.5288,0.1841,0.558,1
Boxer,26.5,0.9,5.697,14.506,5.969,274.0,98.1,1.374,88.1,85.58,19.33,30.0,Chronic illness,2.037,0.0193,0.0393,0.5283,0.2074,0.628,0
Boxer,26.1,15.0,5.723,13.983,6.741,333.9,93.2,1.065,38.7,87.0,22.14,29.36,Skin conditions history,2.012,0.0205,0.0412,0.5288,0.1728,0.524,1
Golden Retriever,31.1,13.1,5.675,12.174,6.565,245.1,77.8,1.365,51.3,86.49,19.66,30.63,Skin conditions history,1.998,0.0209,0.0418,0.5306,0.1921,0.553,1
Labrador Retriever,33.2,15.0,6.172,14.962,4.618,209.3,90.6,1.067,42.5,80.01,24.04,32.28,Dental issues,1.95,0.0227,0.0443,0.5277,0.2175,0.614,1
Golden Retriever,31.0,4.3,6.177,10.686,4.068,319.4,97.4,1.018,79.3,60.0,19.77,28.59,Allergies,1.98,0.0214,0.0424,0.5327,0.1864,0.539,0
Yorkshire Terrier,10.0028,9.7358,6.06,12.362,3.0,181.8,115.7,1.521,97.1,69.9766,22.5719,27.2892,Previous kidney disease,1.95,0.0207,0.0404,0.5331,0.1476,0.456,0
Rottweiler,36.5,1.9,7.309,18.656,4.452,102.5,62.0,1.414,38.9,79.54,25.94,31.86,Skin conditions history,1.973,0.0238,0.047,0.5229,0.2337,0.653,0
Beagle,28.224,14.6771,5.126,12.308,5.241,176.8,87.9,1.122,42.5,83.7778,25.0271,31.0796,No previous conditions,1.974,0.0221,0.0436,0.5292,0.2101,0.593,1
Rottweiler,28.1113,2.4432,5.773,11.945,7.699,282.1,90.0,0.807,50.4,83.2672,25.7425,31.6358,Not vaccinated,1.924,0.0222,0.0427,0.52,0.1947,0.575,1
German Shepherd,35.5231,1.1045,5.676,15.087,5.846,275.4,87.5,1.209,31.6,89.0476,27.9685,30.8008,No previous conditions,1.918,0.0208,0.0399,0.5303,0.2246,0.645,0
Labrador Retriever,33.2023,0.493,4.671,11.353,16.17,191.4,96.8,1.284,40.3,84.4734,19.458,31.6166,Vaccinated,1.845,0.0247,0.0456,0.5311,0.2373,0.662,1
Golden Retriever,37.3546,13.7754,6.717,15.908,10.647,280.8,82.5,1.164,31.4,79.3146,24.4942,29.2052,Not vaccinated,2.071,0.0203,0.042,0.5096,0.1831,0.522,0
Golden Retriever,40.0,9.7,5.934,13.156,4.88,100.0,96.9,1.739,47.8,64.85,27.38,28.0,Chronic illness,1.964,0.0205,0.0403,0.5299,0.2292,0.659,0
Bulldog,22.5033,3.6104,5.65,16.284,9.468,256.2,78.3,1.233,112.5,85.908,20.5806,30.5315,Recent surgery,2.26,0.0202,0.0457,0.5461,0.1989,0.584,1
Boxer,21.1264,1.626,5.41,11.98,5.643,207.6,87.7,1.57,40.8,82.5318,23.3097,31.262,Previous kidney disease,1.915,0.0202,0.0387,0.5372,0.1509,0.455,0
Yorkshire Terrier,4.0106,6.207,5.826,18.614,4.912,167.8,89.6,0.72,41.9,89.666,24.7781,34.5291,Skin conditions history,1.838,0.0205,0.0377,0.5291,0.134,0.4,1
Rottweiler,26.8,12.2,5.749,14.819,7.844,308.1,66.9,1.201,38.4,86.57,21.31,30.87,Allergies,2.065,0.021,0.0434,0.5274,0.2237,0.631,0
Mixed Breed,14.392,12.1937,5.391,13.902,10.413,250.1,98.0,0.905,42.9,84.4031,26.8159,30.536,Parasite history,2.136,0.0199,0.0425,0.514,0.1878,0.58,1
Mixed Breed,23.1945,10.7881,6.056,9.122,8.06,496.9,85.4,1.055,55.3,69.8743,23.9144,28.8964,Dental issues,2.068,0.0198,0.0409,0.539,0.1697,0.507,0
Beagle,24.5,5.8,4.969,9.765,9.513,228.5,98.8,0.829,37.0,71.43,26.4,29.71,Allergies,2.066,0.0205,0.0424,0.5338,0.1858,0.546,1
Golden Retriever,42.4,3.7,6.558,16.824,10.779,120.8,101.2,1.757,56.2,85.34,25.02,30.08,Chronic illness,2.013,0.0221,0.0445,0.5257,0.1776,0.506,1
Boxer,15.8339,13.1846,6.483,10.221,7.028,388.8,91.4,0.881,62.2,58.5474,25.2637,28.2075,Skin conditions history,1.999,0.0215,0.043,0.525,0.159,0.499,1
German Shepherd,35.9,9.3,5.052,14.138,10.245,343.2,95.8,1.107,44.9,84.35,22.61,30.94,Allergies,1.971,0.022,0.0434,0.5287,0.241,0.691,1
Labrador Retriever,31.8804,3.2988,5.104,12.619,7.267,332.1,93.4,1.061,71.9,88.5022,27.6537,27.7366,Vaccinated,2.074,0.0211,0.0438,0.5357,0.234,0.64,1
Rottweiler,28.5,13.0,4.617,11.698,4.87,252.5,79.5,1.044,35.7,81.55,19.03,30.75,No previous conditions,1.93,0.0223,0.043,0.5312,0.205,0.583,0
Beagle,22.3901,0.5065,6.475,17.369,10.613,247.8,87.6,1.161,46.9,83.7626,24.3643,32.9827,Vaccinated,2.037,0.0225,0.0458,0.5395,0.2279,0.639,0
Rottweiler,25.469,2.2353,6.386,16.118,7.987,222.2,81.2,1.347,43.2,79.1028,26.5865,31.9148,Parasite history,1.998,0.02,0.04,0.5236,0.1782,0.516,0
Golden Retriever,37.2727,11.077,6.871,16.504,5.454,218.6,94.7,0.979,33.1,75.4218,26.6511,31.5891,No previous conditions,1.845,0.024,0.0443,0.5176,0.2356,0.682,1
Beagle,22.3289,8.0709,5.84,12.01,14.7,378.9,88.7,0.893,33.8,71.7288,28.0605,30.0069,Not vaccinated,2.073,0.0216,0.0448,0.5272,0.2072,0.614,1
Bulldog,16.9,4.7,4.182,9.534,9.143,158.7,102.4,1.091,77.5,78.84,20.58,29.86,Recent surgery,2.261,0.0213,0.0482,0.5341,0.127,0.401,0
Rottweiler,37.844,9.9509,5.292,14.684,4.753,286.0,84.6,1.732,52.2,84.3778,26.4603,33.4017,Recent surgery,2.087,0.0212,0.0443,0.5376,0.2431,0.658,0
Yorkshire Terrier,9.0532,12.5602,5.59,13.602,6.342,275.0,101.9,0.725,39.8,77.8338,27.1588,29.9708,Skin conditions history,2.057,0.0219,0.045,0.5107,0.1897,0.553,1
Mixed Breed,28.2299,7.8808,6.92,15.492,15.313,261.6,76.6,1.211,107.2,74.1999,24.2844,31.7362,Vaccinated,2.011,0.0214,0.043,0.5334,0.1357,0.41,1
German Shepherd,37.8,7.9,6.186,15.684,7.069,218.4,89.4,1.32,34.0,76.66,23.34,28.89,Parasite history,2.005,0.0226,0.0453,0.5268,0.2308,0.659,1
German Shepherd,27.6,2.5,5.688,11.702,3.0,191.1,105.9,1.422,77.5,67.82,23.15,28.0,Chronic illness,1.985,0.0202,0.0401,0.5317,0.184,0.531,1
Labrador Retriever,40.0,6.6,6.353,10.792,8.619,310.5,62.3,2.013,85.0,75.87,24.69,30.15,Chronic illness,2.014,0.0222,0.0447,0.5319,0.2082,0.593,0
Golden Retriever,29.6,8.6,6.479,18.133,11.772,113.6,84.2,1.45,44.1,87.08,22.9,29.78,Dental issues,2.086,0.0227,0.0474,0.5239,0.2434,0.691,1
Mixed Breed,40.0,6.8,6.303,16.662,10.545,197.4,96.9,1.187,45.2,92.43,23.84,32.45,Parasite history,2.088,0.0205,0.0428,0.5258,0.167,0.496,1
Labrador Retriever,25.6,7.1,3.5,18.764,13.453,261.9,88.7,1.181,31.0,90.72,26.52,32.41,Previous heart condition,1.998,0.0238,0.0476,0.5233,0.1966,0.55,0
Beagle,27.8,11.5,4.825,14.211,7.06,171.0,99.5,1.031,62.7,89.58,23.45,33.05,Skin conditions history,1.897,0.0211,0.04,0.5287,0.2202,0.64,0
Boxer,16.3,5.6,5.939,14.236,5.639,268.6,85.4,1.321,45.3,78.37,26.12,31.3,No previous conditions,2.019,0.0203,0.041,0.5284,0.1492,0.452,1
Beagle,20.6,7.9,4.961,13.445,7.067,370.9,86.1,1.369,74.2,86.74,25.77,31.8,Chronic illness,1.959,0.0226,0.0443,0.5293,0.2014,0.586,0
Bulldog,22.6018,7.669,5.403,12.216,10.717,220.2,102.4,1.331,42.1,72.8299,24.8898,28.3239,Allergies,2.146,0.0202,0.0433,0.5324,0.1588,0.517,1
Yorkshire Terrier,4.0,9.2,4.873,11.683,12.09,355.5,78.9,0.585,36.1,77.92,20.45,31.06,Skin conditions history,1.939,0.0215,0.0417,0.5312,0.1355,0.413,0
Rottweiler,39.0844,5.0693,5.634,12.148,10.296,210.7,85.6,1.73,47.1,77.4237,23.5175,28.5375,Previous heart condition,1.943,0.0216,0.042,0.5225,0.2109,0.594,0
Rottweiler,39.6006,0.4969,4.536,12.154,8.718,282.7,82.8,2.16,68.6,83.2543,20.1374,29.8578,Previous kidney disease,1.951,0.0194,0.0379,0.5495,0.2315,0.643,0
Rottweiler,22.9,5.8,5.465,15.998,3.275,400.0,95.0,1.273,40.9,85.32,26.04,30.4,Skin conditions history,1.952,0.0212,0.0414,0.5266,0.1868,0.526,0
